Seq,Level,COBOLFieldName,GroupPath,PICClause,Usage,ByteLength,DecimalDigits,Signed,StartOffset,EndOffset,DefaultValue,88LevelConditions,ProposedCSharpType,FieldKind,Confidence,Notes
16,20,OMGPR-JIT-PRICING-FIELDS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,,,,,,,,,,,Group,CONFIRMED,
17,25,OMGPR-JIT-SERVICE-FEE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,X(1),DISPLAY,1,,N,45,45,SPACE,OMGPR-ADD-TO-ADJ-COST='C'; OMGPR-ADD-TO-REG-PRICE='P'; OMGPR-SHOW-ADJ-COST='A'; OMGPR-SHOW-REG-PRICE='R',string,Leaf+88,CONFIRMED,
18,25,OMGPR-JIT-FEE-BREAK-OUT-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,X(1),DISPLAY,1,,N,46,46,SPACE,OMGPR-FEE-BREAK-OUT='Y',string,Leaf+88,CONFIRMED,
19,25,OMGPR-JIT-SERVICE-FEE-PCT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,S9(1)V9(4),COMP-3,3,4,Y,47,49,ZERO,,decimal,Leaf,CONFIRMED,
20,25,OMGPR-JIT-LABEL-CHRG-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,X(1),DISPLAY,1,,N,50,50,SPACE,OMGPR-LABEL-RATE-PER-ITEM='I'; OMGPR-PCT-PER-LABEL='P'; OMGPR-RATE-PER-LABEL='R',string,Leaf+88,CONFIRMED,
21,25,OMGPR-JIT-LABEL-CHRG-AMT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,S9(2)V9(4),COMP-3,4,4,Y,51,54,ZERO,,decimal,Leaf,CONFIRMED,
22,25,OMGPR-JIT-APPLY-CHRG-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,X(1),DISPLAY,1,,N,55,55,SPACE,OMGPR-APPLY-RATE-PER-ITEM='I'; OMGPR-PCT-PER-APPLY='P'; OMGPR-RATE-PER-APPLY='R',string,Leaf+88,CONFIRMED,
23,25,OMGPR-JIT-APPLY-CHRG-AMT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,S9(2)V9(4),COMP-3,4,4,Y,56,59,ZERO,,decimal,Leaf,CONFIRMED,
24,25,OMGPR-JIT-BREAK-CHRG-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,X(1),DISPLAY,1,,N,60,60,SPACE,OMGPR-PCT-PER-BREAK='P'; OMGPR-RATE-PER-BREAK='R',string,Leaf+88,CONFIRMED,
25,25,OMGPR-JIT-BREAK-CHRG-AMT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,S9(2)V9(4),COMP-3,4,4,Y,61,64,ZERO,,decimal,Leaf,CONFIRMED,
26,25,OMGPR-JIT-LUOM-CHRG-AMT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-JIT-PRICING-FIELDS,S9(2)V9(4),COMP-3,4,4,Y,65,68,ZERO,,decimal,Leaf,CONFIRMED,
27,20,OMGPR-JIT-ITEM-LABEL-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,X(1),DISPLAY,1,,N,69,69,SPACE,OMGPR-JIT-ITEM-LABEL='Y',string,Leaf+88,CONFIRMED,
28,20,OMGPR-JIT-ITEM-LABEL-QTY,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,S9(5),COMP-3,3,,Y,70,72,ZERO,,int,Leaf,CONFIRMED,
29,20,OMGPR-JIT-ITEM-APPLY-LABEL-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,X(1),DISPLAY,1,,N,73,73,SPACE,OMGPR-JIT-ITEM-APPLY-LAB='Y',string,Leaf+88,CONFIRMED,
30,20,OMGPR-JIT-ITEM-BREAK-BULK-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,X(1),DISPLAY,1,,N,74,74,SPACE,OMGPR-JIT-ITEM-BREAK-BULK='Y',string,Leaf+88,CONFIRMED,
31,20,OMGPR-ALT-ORD-DATA,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,,,,,,,,,,,Group,CONFIRMED,
32,25,OMGPR-ALT-ORD-UM-FOUND-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-ALT-ORD-DATA,X(1),DISPLAY,1,,N,75,75,SPACE,OMGPR-ALT-ORD-UM-FOUND='Y',string,Leaf+88,CONFIRMED,
33,25,OMGPR-ALT-ORD-UM,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-ALT-ORD-DATA,X(3),DISPLAY,3,,N,76,78,SPACE,,string,Leaf,CONFIRMED,
34,25,OMGPR-ALT-ORD-CONV-FACTOR,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-ALT-ORD-DATA,S9(7)V9(8),COMP-3,8,8,Y,79,86,ZERO,,decimal,Leaf,CONFIRMED,
35,20,OMGPR-LABEL-UM-DATA,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA,,,,,,,,,,,Group,CONFIRMED,
36,25,OMGPR-LABEL-UM-FOUND-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-LABEL-UM-DATA,X(1),DISPLAY,1,,N,87,87,SPACE,OMGPR-LABEL-UM-FOUND='Y',string,Leaf+88,CONFIRMED,
37,25,OMGPR-CUST-LABEL-UNIT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-LABEL-UM-DATA,X(3),DISPLAY,3,,N,88,90,SPACE,,string,Leaf,CONFIRMED,
38,25,OMGPR-CUST-LABEL-CONV-FACTOR,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-JIT-DATA > OMGPR-LABEL-UM-DATA,S9(7)V9(8),COMP-3,8,8,Y,91,98,ZERO,,decimal,Leaf,CONFIRMED,
39,15,OMGPR-DATA-FROM-CUP100,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
40,20,OMGPR-F-AA-VHA-IND,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(1),DISPLAY,1,,N,99,99,SPACE,,string,Leaf,CONFIRMED,
41,20,OMGPR-F-ST-JIT-CUSTOMER,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(1),DISPLAY,1,,N,100,100,SPACE,,string,Leaf,CONFIRMED,
42,20,OMGPR-C-ACCT-ROUNDING,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(1),DISPLAY,1,,N,101,101,SPACE,OMGPR-NO-ROUNDING='N' ' '; OMGPR-NORMAL-TWO-ROUNDING='R'; OMGPR-UP-TWO-ROUNDING='Y',string,Leaf+88,CONFIRMED,
43,20,OMGPR-C-ACCT-PRCE-METHOD,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(2),DISPLAY,2,,N,102,103,SPACE,OMGPR-CONT-PRCE-METHOD='CC'; OMGPR-STOCK-PRCE-METHOD='ST'; OMGPR-USAGE-PRCE-METHOD='AU',string,Leaf+88,CONFIRMED,
44,20,OMGPR-F-AA-FRT-IN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(1),DISPLAY,1,,N,104,104,SPACE,,string,Leaf,CONFIRMED,
45,20,OMGPR-I-ACCOUNT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,S9(8),COMP,4,,Y,105,108,ZERO,,int,Leaf,CONFIRMED,
46,20,OMGPR-I-CUSTOMER,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,S9(8),COMP,4,,Y,109,112,ZERO,,int,Leaf,CONFIRMED,
47,20,OMGPR-C-BUSINESS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(2),DISPLAY,2,,N,113,114,SPACE,,string,Leaf,CONFIRMED,
48,20,OMGPR-P-BREAK-BULK,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,S9(1)V9(4),COMP-3,3,4,Y,115,117,ZERO,,decimal,Leaf,CONFIRMED,
49,20,OMGPR-P-LOW-UOM,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,S9(1)V9(4),COMP-3,3,4,Y,118,120,,,decimal,Leaf,CONFIRMED,
50,20,OMGPR-F-LUOM-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(01),DISPLAY,1,,N,121,121,,OMGPR-F-LUOM-ACCOUNT='A'; OMGPR-F-LUOM-GROUP='G',string,Leaf+88,CONFIRMED,
51,20,OMGPR-F-BREAK-BULK-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(01),DISPLAY,1,,N,122,122,,OMGPR-F-BREAK-BULK-ACCOUNT='A'; OMGPR-F-BREAK-BULK-GROUP='G',string,Leaf+88,CONFIRMED,
52,20,FILLER,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(01),DISPLAY,1,,N,123,123,,,string,Leaf,CONFIRMED,Reserved/unused space; not consumed by any program logic in upload/.
53,20,OMGPR-F-LUOM-VEND-EXCL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(01),DISPLAY,1,,N,124,124,,,string,Leaf,CONFIRMED,
54,20,OMGPR-I-BUY-GROUP-LUOM,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,S9(08),COMP,4,,Y,125,128,,,int,Leaf,CONFIRMED,
55,20,OMGPR-D-BG-LOW-UOM-EFF,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(10),DISPLAY,10,,N,129,138,,,string,Leaf,CONFIRMED,
56,20,OMGPR-F-LUOM-ELIG-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FROM-CUP100,X(01),DISPLAY,1,,N,139,139,,,string,Leaf,CONFIRMED,
57,15,OMGPR-DATA-FOR-PACKS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
58,20,OMGPR-INPUT-PRODUCT-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FOR-PACKS,X(01),DISPLAY,1,,N,140,140,,OMGPR-INPUT-OMKIT='O'; OMGPR-INPUT-VENDKIT='S'; OMGPR-INPUT-REGULAR-PROD='R'; OMGPR-INPUT-DEFAULT-PROD=' ',string,Leaf+88,CONFIRMED,
59,20,OMGPR-PRICING-REQ-SW,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FOR-PACKS,X(01),DISPLAY,1,,N,141,141,,OMGPR-PRICING-COSTONLY='C'; OMGPR-PRICING-SELLONLY='S'; OMGPR-PRICING-PRICE='P'; OMGPR-JIT-ON-COST='J'; OMGPR-PRICING-DEFAULT=' ',string,Leaf+88,CONFIRMED,
60,20,OMGPR-C-PRODUCT-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS > OMGPR-DATA-FOR-PACKS,X(1),COMP-3,1,,N,142,142,SPACE.00022100 20 OMGPR-A-OVERHEAD-FEE PIC S9(5)V9(8) VALUE ZERO .00022400 20 OMGPR-A-THIRDPARTY-FEE PIC S9(5)V9(8) VALUE ZERO 00022600 COMPUTATIONAL-3.00022700 20 OMGPR-C-APLY-TRDPTY-BEFMKUP-SW PIC X(01) VALUE SPACES.00022900 15 OMGPR-F-INP-CNT-EXCL-SW PIC X(01) VALUE SPACE,OMGPR-ACT-CNT-EXCL-EXISTS='Y'; OMGPR-ACT-CNT-EXCL-ABSENT='N' ' ',string,Leaf+88,CONFIRMED,
61,15,OMGPR-F-EXEMPT-SANC-FLAG,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,143,143,,,string,Leaf,CONFIRMED,
62,15,OMGPR-F-EXEMPT-NON-SANC-FLAG,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,144,144,,,string,Leaf,CONFIRMED,
63,15,OMGPR-F-EXEMPT-IND-FLAG,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,145,145,,,string,Leaf,CONFIRMED,
64,15,OMGPR-F-EXEMPT-NON-CONT-FLAG,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,146,146,,,string,Leaf,CONFIRMED,
65,15,OMGPR-F-EXEMPT-CUSTOM-FLAG,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,147,147,,,string,Leaf,CONFIRMED,
66,15,OMGPR-VAR-I-BUY-GROUP,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(8),COMP,4,,Y,148,151,ZERO,,int,Leaf,CONFIRMED,
67,15,OMGPR-F-SPECIAL-CONTRACT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,152,152,,,string,Leaf,CONFIRMED,
68,15,OMGPR-JIT-LUM-FEE-PCT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(1)V9(4),COMP-3,3,4,Y,153,155,ZERO,,decimal,Leaf,CONFIRMED,
69,15,OMGPR-JIT-EXTRA-DELIV-FEE-PCT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(1)V9(4),COMP-3,3,4,Y,156,158,ZERO,,decimal,Leaf,CONFIRMED,
70,15,OMGPR-JIT-NON-OM-SLCT-FEE-PCT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(1)V9(4),COMP-3,3,4,Y,159,161,ZERO,,decimal,Leaf,CONFIRMED,
71,15,OMGPR-CUSTOMER-NBR,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(10),COMP-3,6,,Y,162,167,ZERO,,long,Leaf,CONFIRMED,
72,15,OMGPR-ORDER-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(1),DISPLAY,1,,N,168,168,SPACE,OMGPR-ORDER-TYPE-STOCK='S' ' ',string,Leaf+88,CONFIRMED,
73,15,OMGPR-A-SURGITRAK-ST,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(7)V9(8),COMP-3,8,8,Y,169,176,0,,decimal,Leaf,CONFIRMED,
74,15,OMGPR-P-SURGITRAK-ST,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(3)V9(4),COMP-3,4,4,Y,177,180,0,,decimal,Leaf,CONFIRMED,
75,15,OMGPR-FEE-SHRT-CODE-ST,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,181,182,SPACE,,string,Leaf,CONFIRMED,
76,15,OMGPR-SKU-CODE-ST,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,183,186,SPACE,,string,Leaf,CONFIRMED,
77,15,OMGPR-BILLING-FRQ-ST,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,187,188,SPACE,OMGPR-DAILY-BILL-ST='DL'; OMGPR-DAILY-BILL-SEP-ST='DS'; OMGPR-MONTHLY-AUTO-BILL-ST='MA'; OMGPR-MONTHLY-MANUAL-BILL-ST='MM',string,Leaf+88,CONFIRMED,
78,15,OMGPR-FEE-TYPE-ST,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,189,189,SPACE,OMGPR-FEE-PER-LINE-ST='L'; OMGPR-FEE-PER-QTY-ST='Q'; OMGPR-FEE-PER-ORDER-ST='O'; OMGPR-FEE-PCT-SELL-ST='P'; OMGPR-FEE-PCT-COST-ST='C',string,Leaf+88,CONFIRMED,
79,15,OMGPR-A-BREAKBULK-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(7)V9(8),COMP-3,8,8,Y,190,197,0,,decimal,Leaf,CONFIRMED,
80,15,OMGPR-P-BREAKBULK-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(3)V9(4),COMP-3,4,4,Y,198,201,0,,decimal,Leaf,CONFIRMED,
81,15,OMGPR-FEE-SHRT-CODE-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,202,203,SPACE,,string,Leaf,CONFIRMED,
82,15,OMGPR-SKU-CODE-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,204,207,SPACE,,string,Leaf,CONFIRMED,
83,15,OMGPR-BILLING-FRQ-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,208,209,SPACE,OMGPR-DAILY-BILL-BB='DL'; OMGPR-DAILY-BILL-SEP-BB='DS'; OMGPR-MONTHLY-AUTO-BILL-BB='MA'; OMGPR-MONTHLY-MANUAL-BILL-BB='MM',string,Leaf+88,CONFIRMED,
84,15,OMGPR-FEE-TYPE-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,210,210,SPACE,OMGPR-FEE-PER-LINE-BB='L'; OMGPR-FEE-PER-QTY-BB='Q'; OMGPR-FEE-PER-ORDER-BB='O'; OMGPR-FEE-PCT-SELL-BB='P'; OMGPR-FEE-PCT-COST-BB='C',string,Leaf+88,CONFIRMED,
85,15,OMGPR-A-LUM-FEE-AMT-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(7)V9(8),COMP-3,8,8,Y,211,218,0,,decimal,Leaf,CONFIRMED,
86,15,OMGPR-P-LUM-FEE-PCT-BB,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(3)V9(4),COMP-3,4,4,Y,219,222,0,,decimal,Leaf,CONFIRMED,
87,15,OMGPR-A-APPLY-LAB-AL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(7)V9(8),COMP-3,8,8,Y,223,230,0,,decimal,Leaf,CONFIRMED,
88,15,OMGPR-P-APPLY-LAB-AL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(3)V9(4),COMP-3,4,4,Y,231,234,0,,decimal,Leaf,CONFIRMED,
89,15,OMGPR-FEE-SHRT-CODE-AL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,235,236,SPACE,,string,Leaf,CONFIRMED,
90,15,OMGPR-SKU-CODE-AL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,237,240,SPACE,,string,Leaf,CONFIRMED,
91,15,OMGPR-BILLING-FRQ-AL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,241,242,SPACE,OMGPR-DAILY-BILL-AL='DL'; OMGPR-DAILY-BILL-SEP-AL='DS'; OMGPR-MONTHLY-AUTO-BILL-AL='MA'; OMGPR-MONTHLY-MANUAL-BILL-AL='MM',string,Leaf+88,CONFIRMED,
92,15,OMGPR-FEE-TYPE-AL,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,243,243,SPACE,OMGPR-FEE-PER-LINE-AL='L'; OMGPR-FEE-PER-QTY-AL='Q'; OMGPR-FEE-PER-ORDER-AL='O'; OMGPR-FEE-PCT-SELL-AL='P'; OMGPR-FEE-PCT-COST-AL='C',string,Leaf+88,CONFIRMED,
93,15,OMGPR-FEE-SHRT-CODE-SF,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,244,245,SPACE,,string,Leaf,CONFIRMED,
94,15,OMGPR-SKU-CODE-SF,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,246,249,SPACE,,string,Leaf,CONFIRMED,
95,15,OMGPR-BILLING-FRQ-SF,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,250,251,SPACE,OMGPR-DAILY-BILL-SF='DL'; OMGPR-MONTHLY-AUTO-BILL-SF='MA'; OMGPR-MONTHLY-MANUAL-BILL-SF='MM',string,Leaf+88,CONFIRMED,
96,15,OMGPR-FEE-SHRT-CODE-TS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,252,253,SPACE,,string,Leaf,CONFIRMED,
97,15,OMGPR-SKU-CODE-TS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,254,257,SPACE,,string,Leaf,CONFIRMED,
98,15,OMGPR-BILLING-FRQ-TS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,258,259,SPACE,OMGPR-DAILY-BILL-TS='DL'; OMGPR-MONTHLY-AUTO-BILL-TS='MA'; OMGPR-MONTHLY-MANUAL-BILL-TS='MM',string,Leaf+88,CONFIRMED,
99,15,OMGPR-FEE-SHRT-CODE-GS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,260,261,SPACE,,string,Leaf,CONFIRMED,
100,15,OMGPR-SKU-CODE-GS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,262,265,SPACE,,string,Leaf,CONFIRMED,
101,15,OMGPR-BILLING-FRQ-GS,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,266,267,SPACE,OMGPR-DAILY-BILL-GS='DL'; OMGPR-MONTHLY-AUTO-BILL-GS='MA'; OMGPR-MONTHLY-MANUAL-BILL-GS='MM',string,Leaf+88,CONFIRMED,
102,15,OMGPR-FEE-SHRT-CODE-GN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,268,269,SPACE,,string,Leaf,CONFIRMED,
103,15,OMGPR-SKU-CODE-GN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(04),DISPLAY,4,,N,270,273,SPACE,,string,Leaf,CONFIRMED,
104,15,OMGPR-BILLING-FRQ-GN,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,274,275,SPACE,OMGPR-DAILY-BILL-GN='DL'; OMGPR-MONTHLY-AUTO-BILL-GN='MA'; OMGPR-MONTHLY-MANUAL-BILL-GN='MM',string,Leaf+88,CONFIRMED,
105,15,OMGPR-FEE-SHRT-CODE-MI,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(02),DISPLAY,2,,N,276,277,SPACE,,string,Leaf,CONFIRMED,
